word,pos,source
about,preposition,パス単
across,preposition,パス単
action,noun,パス単
actor,noun,パス単
after,preposition,パス単
again,adverb,パス単
ago,adverb,パス単
air,noun,パス単
airplane,noun,パス単
airport,noun,パス単
album,noun,パス単
already,adverb,パス単
also,adverb,パス単
always,adverb,パス単
a.m.,acronym,パス単
America,noun,パス単
among,preposition,パス単
and,conjunction,パス単
angry,adjective,パス単
animal,noun,パス単
another,pronoun,パス単
answer,verb,パス単
anything,pronoun,パス単
apartment,noun,パス単
around,preposition,パス単
arrive,verb,パス単
artist,noun,パス単
ask,verb,パス単
at,preposition,パス単
aunt,noun,パス単
Australia,noun,パス単
away,adverb,パス単
back,adverb,パス単
bad,adjective,パス単
badminton,noun,パス単
band,noun,パス単
bank,noun,パス単
basketball,noun,パス単
bath,noun,パス単
bathroom,noun,パス単
beach,noun,パス単
beautiful,adjective,パス単
because,conjunction,パス単
become,verb,パス単
bedroom,noun,パス単
beef,noun,パス単
before,preposition,パス単
begin,verb,パス単
best,adjective,パス単
better,adjective,パス単
bicycle,noun,パス単
bike,noun,パス単
blackboard,noun,パス単
boat,noun,パス単
both,adjective,パス単
bread,noun,パス単
bridge,noun,パス単
bring,verb,パス単
brush,noun/verb,パス単
building,noun,パス単
busy,adjective,パス単
but,conjunction,パス単
butter,noun,パス単
buy,verb,パス単
by,preposition,パス単
cafeteria,noun,パス単
calendar,noun,パス単
call,verb,パス単
camera,noun,パス単
camp,noun,パス単
camping,noun,パス単
Canada,noun,パス単
card,noun,パス単
care,noun,パス単
carry,verb,パス単
catch,verb,パス単
center,noun,パス単
change,verb,パス単
check,verb,パス単
cherry,noun,パス単
Chicago,noun,パス単
chicken,noun,パス単
children,noun,パス単
China,noun,パス単
chocolate,noun,パス単
chopstick,noun,パス単
clarinet,noun,パス単
class,noun,パス単
classmate,noun,パス単
classroom,noun,パス単
clean,verb,パス単
close,adjective,パス単
clothes,noun,パス単
cloudy,adjective,パス単
club ,noun,パス単
coat,noun,パス単
coffee,noun,パス単
college,noun,パス単
color,noun,パス単
come,verb,パス単
comic,noun,パス単
company,noun,パス単
computer,noun,パス単
concert,noun,パス単
contest,noun,パス単
cook,verb,パス単
cookie,noun,パス単
cooking,noun,パス単
corner,noun,パス単
costume,noun,パス単
could,verb,パス単
country,noun,パス単
course,noun,パス単
cousin,noun,パス単
